name,url,img_url,price
Joni,https://www.glassesshop.com/eyeglasses/fp2024,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Bray,https://www.glassesshop.com/eyeglasses/fp1923,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Vivian,https://www.glassesshop.com/eyeglasses/fz1250,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Flushing,https://www.glassesshop.com/eyeglasses/fp1972,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Hume,https://www.glassesshop.com/eyeglasses/fz1297,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Troy,https://www.glassesshop.com/eyeglasses/sup0907,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Indianapolis,https://www.glassesshop.com/eyeglasses/fp2158,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$9.95
Fitchburg,https://www.glassesshop.com/eyeglasses/fp2383,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$9.95
Jerry,https://www.glassesshop.com/eyeglasses/fp1593,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Rochester,https://www.glassesshop.com/eyeglasses/fm1263,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Dinah,https://www.glassesshop.com/eyeglasses/fp2445,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Amelia,https://www.glassesshop.com/eyeglasses/fm1469,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95
Matthew,https://www.glassesshop.com/eyeglasses/sm0752,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$39.95
FortMyers,https://www.glassesshop.com/eyeglasses/fp2587,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
,,,
,,,
Annabelle,https://www.glassesshop.com/eyeglasses/fp2086,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Dubois,https://www.glassesshop.com/eyeglasses/ft0326,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49.95
Marlowe,https://www.glassesshop.com/eyeglasses/sup0711,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Walnut,https://www.glassesshop.com/eyeglasses/sup0822,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Coolidge,https://www.glassesshop.com/eyeglasses/fp1168,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$5.95
Arlene,https://www.glassesshop.com/eyeglasses/fp1762,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
,,,
Modesto,https://www.glassesshop.com/eyeglasses/fm1654,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Althea,https://www.glassesshop.com/eyeglasses/fp2111,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Aurora,https://www.glassesshop.com/eyeglasses/sup0795,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Vogt,https://www.glassesshop.com/eyeglasses/fz1320,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Galveston,https://www.glassesshop.com/eyeglasses/sup1101,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Martin,https://www.glassesshop.com/eyeglasses/sm0795,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
,,,
Union,https://www.glassesshop.com/eyeglasses/fz1750,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$35.95
Debby,https://www.glassesshop.com/eyeglasses/fz1768,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Mobile,https://www.glassesshop.com/eyeglasses/ft0360,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$39.95
,,,
Iowa,https://www.glassesshop.com/eyeglasses/fz1015,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Worcester,https://www.glassesshop.com/eyeglasses/fp2484,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
